shoe_name,review_id,rating,sentiment_label,raw_title,raw_review_text,combined_text,clean_review_text,clean_word_count,footlocker_product_url,product_id,submission_time
Adidas 4DFWD,gen_664312840,4,positive,Highly recommend,Just getting into running and Great energy return. Fits true to size. Perfect for recovery runs. Would buy again.,Highly recommend. Just getting into running and Great energy return. Fits true to size. Perfect for recovery runs. Would buy again,highly recommend just getting into running and great energy return fits true to size perfect for recovery runs would buy again,21,https://runrepeat.com/adidas-4dfwd,gen_737030,2025-05-05T07:02:53.000+00:00
Adidas 4DFWD,gen_183823303,4,positive,Excellent for long runs,Solid grip on the road. Legs feel fresh even on long runs. Perfect for 5K training.,Excellent for long runs. Solid grip on the road. Legs feel fresh even on long runs. Perfect for 5K training,excellent for long runs solid grip on the road legs feel fresh even on long runs perfect for 5k training,20,https://runrepeat.com/adidas-4dfwd,gen_737030,2025-04-17T07:02:53.000+00:00
Adidas 4DFWD,gen_902349772,4,positive,My new go-to shoe,"As a casual runner, Fits true to size. Feels fast and responsive.","My new go-to shoe. As a casual runner, Fits true to size. Feels fast and responsive",my new go to shoe as a casual runner fits true to size feels fast and responsive,17,https://runrepeat.com/adidas-4dfwd,gen_737030,2025-03-29T07:02:53.000+00:00
Adidas 4DFWD,gen_795596938,5,positive,Excellent for long runs,Replaced my old pair with these and very happy. Great for tempo runs. Great energy return.,Excellent for long runs. Replaced my old pair with these and very happy. Great for tempo runs. Great energy return,excellent for long runs replaced my old pair with these and very happy great for tempo runs great energy return,20,https://runrepeat.com/adidas-4dfwd,gen_737030,2026-02-08T07:02:53.000+00:00
Adidas 4DFWD,gen_25676354,4,positive,Highly recommend,Tried these on a recommendation and not disappointed. The bounce is incredible. Outsole holds up really well. Perfect for 5K training. Highly recommend.,Highly recommend. Tried these on a recommendation and not disappointed. The bounce is incredible. Outsole holds up really well. Perfect for 5K training. Highly recommend,highly recommend tried these on a recommendation and not disappointed the bounce is incredible outsole holds up really well perfect for 5k training highly recommend,25,https://runrepeat.com/adidas-4dfwd,gen_737030,2025-08-31T07:02:53.000+00:00
Adidas 4DFWD,gen_19848922,3,neutral,Decent but not perfect,"Logged about 150 miles so far and they're holding up great. However, runs a bit hot. Decent shoe but not without its flaws.","Decent but not perfect. Logged about 150 miles so far and they're holding up great. However, runs a bit hot. Decent shoe but not without its flaws",decent but not perfect logged about 150 miles so far and they're holding up great however runs a bit hot decent shoe but not without its flaws,27,https://runrepeat.com/adidas-4dfwd,gen_737030,2025-06-04T07:02:53.000+00:00
Adidas 4DFWD,gen_977783596,4,positive,My new go-to shoe,I started running 6 months ago and Never slipped on my usual routes. Super comfortable for high mileage. Perfect for trail running.,My new go-to shoe. I started running 6 months ago and Never slipped on my usual routes. Super comfortable for high mileage. Perfect for trail running,my new go to shoe i started running 6 months ago and never slipped on my usual routes super comfortable for high mileage perfect for trail running,27,https://runrepeat.com/adidas-4dfwd,gen_737030,2024-10-18T07:02:53.000+00:00
Adidas 4DFWD,gen_256878493,4,positive,Excellent for long runs,Great for tempo runs. Really propulsive. Highly recommend.,Excellent for long runs. Great for tempo runs. Really propulsive. Highly recommend,excellent for long runs great for tempo runs really propulsive highly recommend,12,https://runrepeat.com/adidas-4dfwd,gen_737030,2025-12-31T07:02:53.000+00:00
Adidas 4DFWD,gen_481813188,4,positive,Highly recommend,Been running in these for 3 months now. Solid grip on the road. No sweaty feet.,Highly recommend. Been running in these for 3 months now. Solid grip on the road. No sweaty feet,highly recommend been running in these for 3 months now solid grip on the road no sweaty feet,18,https://runrepeat.com/adidas-4dfwd,gen_737030,2026-04-11T07:02:53.000+00:00
Adidas 4DFWD,gen_370779197,4,positive,Great daily trainer,Snappy toe-off. Incredible shock absorption. Would buy again.,Great daily trainer. Snappy toe-off. Incredible shock absorption. Would buy again,great daily trainer snappy toe off incredible shock absorption would buy again,12,https://runrepeat.com/adidas-4dfwd,gen_737030,2024-11-26T07:02:53.000+00:00
