shoe_name,review_id,rating,sentiment_label,raw_title,raw_review_text,combined_text,clean_review_text,clean_word_count,footlocker_product_url,product_id,submission_time
Adidas Dame 9,gen_951638843,5,positive,Worth it,I recommend these to my players. Strong impact protection. And good traction on clean courts. Sticky rubber outsole. Sizing is spot on. Super secure fit.,Worth it. I recommend these to my players. Strong impact protection. And good traction on clean courts. Sticky rubber outsole. Sizing is spot on. Super secure fit,worth it i recommend these to my players strong impact protection and good traction on clean courts sticky rubber outsole sizing is spot on super secure fit,27,https://runrepeat.com/adidas-dame-9,gen_371175,2026-03-09T06:52:05.000+00:00
Adidas Dame 9,gen_295063001,5,positive,Best on the court,Bought these after my old pair died. Excellent lateral containment. And good traction on clean courts. Great underfoot feel. Highly recommend.,Best on the court. Bought these after my old pair died. Excellent lateral containment. And good traction on clean courts. Great underfoot feel. Highly recommend,best on the court bought these after my old pair died excellent lateral containment and good traction on clean courts great underfoot feel highly recommend,25,https://runrepeat.com/adidas-dame-9,gen_371175,2026-03-07T06:52:05.000+00:00
Adidas Dame 9,gen_278946334,5,positive,strong impact protection,Secure lockdown. Strong impact protection. Never slipped once. Sizing is spot on. Super secure fit. One of my favorite basketball shoes.,strong impact protection. Secure lockdown. Strong impact protection. Never slipped once. Sizing is spot on. Super secure fit. One of my favorite basketball shoes,strong impact protection secure lockdown strong impact protection never slipped once sizing is spot on super secure fit one of my favorite basketball shoes,24,https://runrepeat.com/adidas-dame-9,gen_371175,2024-05-04T06:52:05.000+00:00
Adidas Dame 9,gen_52990986,5,positive,Best on the court,Tried these on a whim and they're now my go-to. And good traction on clean courts. Solid responsiveness. You feel the weight after a long game.,Best on the court. Tried these on a whim and they're now my go-to. And good traction on clean courts. Solid responsiveness. You feel the weight after a long game,best on the court tried these on a whim and they're now my go to and good traction on clean courts solid responsiveness you feel the weight after a long game,31,https://runrepeat.com/adidas-dame-9,gen_371175,2026-02-24T06:52:05.000+00:00
Adidas Dame 9,gen_389520893,5,positive,strong impact protection,Really happy with this purchase. Strong impact protection. Excellent lateral containment. You feel the weight after a long game. No heel slip whatsoever. Game changer for me.,strong impact protection. Really happy with this purchase. Strong impact protection. Excellent lateral containment. You feel the weight after a long game. No heel slip whatsoever. Game changer for me,strong impact protection really happy with this purchase strong impact protection excellent lateral containment you feel the weight after a long game no heel slip whatsoever game changer for me,30,https://runrepeat.com/adidas-dame-9,gen_371175,2025-11-27T06:52:05.000+00:00
Adidas Dame 9,gen_114960912,3,neutral,Has its pros and cons,"I play D3 ball and Excellent lateral containment. However, that it is on the heavier side and tends to pick up dust. Decent shoe overall but nothing special.","Has its pros and cons. I play D3 ball and Excellent lateral containment. However, that it is on the heavier side and tends to pick up dust. Decent shoe overall but nothing special",has its pros and cons i play d3 ball and excellent lateral containment however that it is on the heavier side and tends to pick up dust decent shoe overall but nothing special,33,https://runrepeat.com/adidas-dame-9,gen_371175,2025-04-17T06:52:05.000+00:00
Adidas Dame 9,gen_619056389,5,positive,Highly recommend,Secure lockdown. Plus a fit that works well for wide feet. Great underfoot feel. Ordered my normal size and it fits perfectly. Game changer for me.,Highly recommend. Secure lockdown. Plus a fit that works well for wide feet. Great underfoot feel. Ordered my normal size and it fits perfectly. Game changer for me,highly recommend secure lockdown plus a fit that works well for wide feet great underfoot feel ordered my normal size and it fits perfectly game changer for me,28,https://runrepeat.com/adidas-dame-9,gen_371175,2024-08-20T06:52:05.000+00:00
Adidas Dame 9,gen_490458155,4,positive,Best on the court,Its very stable platform. Comfort. Responsive cushioning. Ordered my normal size and it fits perfectly.,Best on the court. Its very stable platform. Comfort. Responsive cushioning. Ordered my normal size and it fits perfectly,best on the court its very stable platform comfort responsive cushioning ordered my normal size and it fits perfectly,19,https://runrepeat.com/adidas-dame-9,gen_371175,2025-05-09T06:52:05.000+00:00
Adidas Dame 9,gen_583704622,4,positive,Love these shoes,I recommend these to my players. Excellent lateral containment. Plus a fit that works well for wide feet. Runs a little heavy. Fits true to size. Best shoe I've played in this year.,Love these shoes. I recommend these to my players. Excellent lateral containment. Plus a fit that works well for wide feet. Runs a little heavy. Fits true to size. Best shoe I've played in this year,love these shoes i recommend these to my players excellent lateral containment plus a fit that works well for wide feet runs a little heavy fits true to size best shoe i've played in this year,36,https://runrepeat.com/adidas-dame-9,gen_371175,2024-08-07T06:52:05.000+00:00
Adidas Dame 9,gen_490565791,5,positive,Highly recommend,Its very stable platform. Excellent lateral containment. Sticky rubber outsole. Fits true to size.,Highly recommend. Its very stable platform. Excellent lateral containment. Sticky rubber outsole. Fits true to size,highly recommend its very stable platform excellent lateral containment sticky rubber outsole fits true to size,16,https://runrepeat.com/adidas-dame-9,gen_371175,2025-06-12T06:52:05.000+00:00
Adidas Dame 9,gen_178637702,5,positive,Great basketball shoe,Secure lockdown. Comfort. Feels like running on clouds. Would buy again.,Great basketball shoe. Secure lockdown. Comfort. Feels like running on clouds. Would buy again,great basketball shoe secure lockdown comfort feels like running on clouds would buy again,14,https://runrepeat.com/adidas-dame-9,gen_371175,2025-12-12T06:52:05.000+00:00
Adidas Dame 9,gen_240604076,5,positive,Best on the court,I play D3 ball and And good traction on clean courts. Secure lockdown. You feel the weight after a long game. One of my favorite basketball shoes.,Best on the court. I play D3 ball and And good traction on clean courts. Secure lockdown. You feel the weight after a long game. One of my favorite basketball shoes,best on the court i play d3 ball and and good traction on clean courts secure lockdown you feel the weight after a long game one of my favorite basketball shoes,31,https://runrepeat.com/adidas-dame-9,gen_371175,2025-03-10T06:52:05.000+00:00
Adidas Dame 9,gen_482380869,5,positive,Solid performance shoe,Really happy with this purchase. Comfort. Its very stable platform. Absorbs landings beautifully. Highly recommend.,Solid performance shoe. Really happy with this purchase. Comfort. Its very stable platform. Absorbs landings beautifully. Highly recommend,solid performance shoe really happy with this purchase comfort its very stable platform absorbs landings beautifully highly recommend,18,https://runrepeat.com/adidas-dame-9,gen_371175,2025-08-31T06:52:05.000+00:00
Adidas Dame 9,gen_347646875,5,positive,Great basketball shoe,Bought these for my son and Excellent lateral containment. Comfort. Feels like running on clouds. Fits true to size.,Great basketball shoe. Bought these for my son and Excellent lateral containment. Comfort. Feels like running on clouds. Fits true to size,great basketball shoe bought these for my son and excellent lateral containment comfort feels like running on clouds fits true to size,22,https://runrepeat.com/adidas-dame-9,gen_371175,2024-09-09T06:52:05.000+00:00
